AdMit
ADPclust
amap
apcluster
BayesLCA
bayesm
bayesmix
bclust
bgmm
biclust
Bmix
bmixture
cba
cclust
CEC
CHsharp
clue
cluster (core)
clusterCrit
clusterfly
clusterGeneration
ClusterR
clusterRepro
clusterSim
clustMixType
clustvarsel
clv
clValid
CoClust
compHclust
dbscan
dendextend
depmix
depmixS4
dpmixsim
dynamicTreeCut
e1071
edci
EMCluster
evclust
FactoClass
fastcluster
fclust
flashClust
flexclust (core)
flexmix (core)
fpc
FunCluster
funFEM
funHDDC
gamlss.mx
genie
GLDEX
GMCM
GSM
HDclassif
hybridHclust
idendr0
IMIFA
isopam
kernlab
kml
latentnet
LCAvarsel
lcmm
mcclust
mclust (core)
MetabolAnalyze
mixAK
MixAll
mixdist
mixPHM
mixRasch
mixreg
MixSim
mixsmsn
mixtools
mixture
MOCCA
MoEClust
movMF
mritc
NbClust
nor1mix
NPflow
optpart
ORIClust
pdfCluster
pmclust
poLCA
prabclus
prcr
PReMiuM
profdpm
protoclust
psychomix
pvclust
randomLCA
rebmix
rjags
Rmixmod (core)
RPMM
seriation
sigclust
skmeans
som
somspace
Spectrum
tclust
teigen
treeClust
trimcluster
VarSelLCM
