iter,cost,error_rates,gamma
1,0.001,0.24128686327077747,NA
1,0.0021379620895022326,0.2520107238605898,NA
1,0.004570881896148752,0.2386058981233244,NA
1,0.009772372209558112,0.2037533512064343,NA
1,0.020892961308540396,0.20911528150134048,NA
1,0.04466835921509633,0.2064343163538874,NA
1,0.09549925860214359,0.21179624664879357,NA
1,0.20417379446695297,0.19302949061662197,NA
1,0.4365158322401661,0.20107238605898123,NA
1,0.9332543007969915,0.21983914209115282,NA
1,1.9952623149688808,0.20911528150134048,NA
1,4.26579518801593,0.19571045576407506,NA
1,9.120108393559097,0.19839142091152814,NA
1,19.498445997580454,0.22788203753351208,NA
1,41.68693834703355,0.21447721179624665,NA
1,89.12509381337459,0.20107238605898123,NA
1,190.54607179632484,0.18498659517426275,NA
1,407.380277804113,0.21715817694369974,NA
1,870.9635899560815,0.3002680965147453,NA
1,1862.0871366628694,0.2064343163538874,NA
1,3981.0717055349774,0.18230563002680966,NA
1,8511.380382023777,0.23056300268096513,NA
2,0.001,0.19839142091152814,NA
2,0.0021379620895022326,0.2359249329758713,NA
2,0.004570881896148752,0.24396782841823056,NA
2,0.009772372209558112,0.20107238605898123,NA
2,0.020892961308540396,0.22788203753351208,NA
2,0.04466835921509633,0.22788203753351208,NA
2,0.09549925860214359,0.2520107238605898,NA
2,0.20417379446695297,0.21715817694369974,NA
2,0.4365158322401661,0.2037533512064343,NA
2,0.9332543007969915,0.21179624664879357,NA
2,1.9952623149688808,0.2386058981233244,NA
2,4.26579518801593,0.23324396782841822,NA
2,9.120108393559097,0.2064343163538874,NA
2,19.498445997580454,0.22788203753351208,NA
2,41.68693834703355,0.2359249329758713,NA
2,89.12509381337459,0.23056300268096513,NA
2,190.54607179632484,0.22788203753351208,NA
2,407.380277804113,0.18230563002680966,NA
2,870.9635899560815,0.21447721179624665,NA
2,1862.0871366628694,0.23324396782841822,NA
2,3981.0717055349774,0.2359249329758713,NA
2,8511.380382023777,0.19839142091152814,NA
3,0.001,0.16353887399463807,NA
3,0.0021379620895022326,0.28418230563002683,NA
3,0.004570881896148752,0.19571045576407506,NA
3,0.009772372209558112,0.2359249329758713,NA
3,0.020892961308540396,0.225201072386059,NA
3,0.04466835921509633,0.19839142091152814,NA
3,0.09549925860214359,0.2037533512064343,NA
3,0.20417379446695297,0.21983914209115282,NA
3,0.4365158322401661,0.24932975871313673,NA
3,0.9332543007969915,0.24932975871313673,NA
3,1.9952623149688808,0.2225201072386059,NA
3,4.26579518801593,0.1876675603217158,NA
3,9.120108393559097,0.21447721179624665,NA
3,19.498445997580454,0.21179624664879357,NA
3,41.68693834703355,0.2359249329758713,NA
3,89.12509381337459,0.19302949061662197,NA
3,190.54607179632484,0.1769436997319035,NA
3,407.380277804113,0.21179624664879357,NA
3,870.9635899560815,0.21179624664879357,NA
3,1862.0871366628694,0.19302949061662197,NA
3,3981.0717055349774,0.23056300268096513,NA
3,8511.380382023777,0.2359249329758713,NA
4,0.001,0.23056300268096513,NA
4,0.0021379620895022326,0.21983914209115282,NA
4,0.004570881896148752,0.21179624664879357,NA
4,0.009772372209558112,0.20107238605898123,NA
4,0.020892961308540396,0.19839142091152814,NA
4,0.04466835921509633,0.2225201072386059,NA
4,0.09549925860214359,0.21983914209115282,NA
4,0.20417379446695297,0.21179624664879357,NA
4,0.4365158322401661,0.2386058981233244,NA
4,0.9332543007969915,0.23056300268096513,NA
4,1.9952623149688808,0.24396782841823056,NA
4,4.26579518801593,0.20911528150134048,NA
4,9.120108393559097,0.2037533512064343,NA
4,19.498445997580454,0.23324396782841822,NA
4,41.68693834703355,0.20107238605898123,NA
4,89.12509381337459,0.24128686327077747,NA
4,190.54607179632484,0.21447721179624665,NA
4,407.380277804113,0.21447721179624665,NA
4,870.9635899560815,0.257372654155496,NA
4,1862.0871366628694,0.21983914209115282,NA
4,3981.0717055349774,0.1769436997319035,NA
4,8511.380382023777,0.21983914209115282,NA
5,0.001,0.2386058981233244,NA
5,0.0021379620895022326,0.2386058981233244,NA
5,0.004570881896148752,0.23056300268096513,NA
5,0.009772372209558112,0.2225201072386059,NA
5,0.020892961308540396,0.21179624664879357,NA
5,0.04466835921509633,0.1903485254691689,NA
5,0.09549925860214359,0.2064343163538874,NA
5,0.20417379446695297,0.24396782841823056,NA
5,0.4365158322401661,0.18498659517426275,NA
5,0.9332543007969915,0.1903485254691689,NA
5,1.9952623149688808,0.20107238605898123,NA
5,4.26579518801593,0.2386058981233244,NA
5,9.120108393559097,0.18230563002680966,NA
5,19.498445997580454,0.21179624664879357,NA
5,41.68693834703355,0.19302949061662197,NA
5,89.12509381337459,0.21983914209115282,NA
5,190.54607179632484,0.23324396782841822,NA
5,407.380277804113,0.225201072386059,NA
5,870.9635899560815,0.21447721179624665,NA
5,1862.0871366628694,0.225201072386059,NA
5,3981.0717055349774,0.19302949061662197,NA
5,8511.380382023777,0.1876675603217158,NA
6,0.001,0.19571045576407506,NA
6,0.0021379620895022326,0.2225201072386059,NA
6,0.004570881896148752,0.21983914209115282,NA
6,0.009772372209558112,0.20107238605898123,NA
6,0.020892961308540396,0.19571045576407506,NA
6,0.04466835921509633,0.21447721179624665,NA
6,0.09549925860214359,0.24128686327077747,NA
6,0.20417379446695297,0.21715817694369974,NA
6,0.4365158322401661,0.21715817694369974,NA
6,0.9332543007969915,0.20107238605898123,NA
6,1.9952623149688808,0.21447721179624665,NA
6,4.26579518801593,0.225201072386059,NA
6,9.120108393559097,0.22788203753351208,NA
6,19.498445997580454,0.23324396782841822,NA
6,41.68693834703355,0.1903485254691689,NA
6,89.12509381337459,0.24932975871313673,NA
6,190.54607179632484,0.19571045576407506,NA
6,407.380277804113,0.225201072386059,NA
6,870.9635899560815,0.1769436997319035,NA
6,1862.0871366628694,0.2064343163538874,NA
6,3981.0717055349774,0.23324396782841822,NA
6,8511.380382023777,0.21983914209115282,NA
7,0.001,0.21447721179624665,NA
7,0.0021379620895022326,0.2359249329758713,NA
7,0.004570881896148752,0.23324396782841822,NA
7,0.009772372209558112,0.20107238605898123,NA
7,0.020892961308540396,0.2359249329758713,NA
