iter,degree,error_rates
1,1,0.2386058981233244
1,2,0.19839142091152814
1,3,0.2225201072386059
1,4,0.20107238605898123
1,5,0.2225201072386059
1,6,0.21447721179624665
1,7,0.22788203753351208
1,8,0.20911528150134048
1,9,0.17962466487935658
1,10,0.21179624664879357
1,11,0.1876675603217158
1,12,0.24664879356568364
1,13,0.22788203753351208
1,14,0.23056300268096513
1,15,0.23324396782841822
2,1,0.24664879356568364
2,2,0.2225201072386059
2,3,0.23324396782841822
2,4,0.22788203753351208
2,5,0.19571045576407506
2,6,0.21715817694369974
2,7,0.21983914209115282
2,8,0.2064343163538874
2,9,0.16621983914209115
2,10,0.2064343163538874
2,11,0.2225201072386059
2,12,0.21179624664879357
2,13,0.20107238605898123
2,14,0.1903485254691689
2,15,0.19302949061662197
3,1,0.20107238605898123
3,2,0.21447721179624665
3,3,0.2037533512064343
3,4,0.2064343163538874
3,5,0.2064343163538874
3,6,0.22788203753351208
3,7,0.225201072386059
3,8,0.2225201072386059
3,9,0.24664879356568364
3,10,0.2359249329758713
3,11,0.21179624664879357
3,12,0.23056300268096513
3,13,0.21715817694369974
3,14,0.24128686327077747
3,15,0.24396782841823056
4,1,0.2064343163538874
4,2,0.21447721179624665
4,3,0.2037533512064343
4,4,0.19302949061662197
4,5,0.2037533512064343
4,6,0.16621983914209115
4,7,0.21715817694369974
4,8,0.2064343163538874
4,9,0.24128686327077747
4,10,0.2386058981233244
4,11,0.20107238605898123
4,12,0.23056300268096513
4,13,0.21715817694369974
4,14,0.2064343163538874
4,15,0.20911528150134048
5,1,0.257372654155496
5,2,0.2064343163538874
5,3,0.24932975871313673
5,4,0.23056300268096513
5,5,0.18230563002680966
5,6,0.24664879356568364
5,7,0.2386058981233244
5,8,0.1903485254691689
5,9,0.23056300268096513
5,10,0.17962466487935658
5,11,0.2037533512064343
5,12,0.2064343163538874
5,13,0.23056300268096513
5,14,0.24664879356568364
5,15,0.24396782841823056
6,1,0.19839142091152814
6,2,0.20107238605898123
6,3,0.17962466487935658
6,4,0.21179624664879357
6,5,0.2680965147453083
6,6,0.22788203753351208
6,7,0.22788203753351208
6,8,0.1876675603217158
6,9,0.24396782841823056
6,10,0.22788203753351208
6,11,0.2546916890080429
6,12,0.2037533512064343
6,13,0.21447721179624665
6,14,0.18498659517426275
6,15,0.16621983914209115
7,1,0.21983914209115282
7,2,0.21447721179624665
7,3,0.23324396782841822
7,4,0.23056300268096513
7,5,0.2225201072386059
7,6,0.23056300268096513
7,7,0.19302949061662197
7,8,0.23324396782841822
7,9,0.19571045576407506
7,10,0.225201072386059
7,11,0.225201072386059
7,12,0.21179624664879357
7,13,0.2386058981233244
7,14,0.2225201072386059
7,15,0.1876675603217158
8,1,0.21179624664879357
8,2,0.20107238605898123
8,3,0.23056300268096513
8,4,0.21983914209115282
8,5,0.23056300268096513
8,6,0.22788203753351208
8,7,0.23056300268096513
8,8,0.2359249329758713
8,9,0.1903485254691689
8,10,0.22788203753351208
8,11,0.23324396782841822
8,12,0.23056300268096513
8,13,0.2359249329758713
8,14,0.2359249329758713
8,15,0.1876675603217158
9,1,0.23056300268096513
9,2,0.2359249329758713
9,3,0.2386058981233244
9,4,0.21983914209115282
9,5,0.18498659517426275
9,6,0.21447721179624665
9,7,0.21447721179624665
9,8,0.21447721179624665
9,9,0.22788203753351208
9,10,0.22788203753351208
9,11,0.21179624664879357
9,12,0.24932975871313673
9,13,0.24664879356568364
9,14,0.20107238605898123
9,15,0.21715817694369974
10,1,0.23324396782841822
10,2,0.21983914209115282
10,3,0.21983914209115282
10,4,0.23324396782841822
10,5,0.23056300268096513
10,6,0.24932975871313673
10,7,0.2037533512064343
10,8,0.21179624664879357
10,9,0.22788203753351208
10,10,0.225201072386059
10,11,0.20911528150134048
10,12,0.24396782841823056
10,13,0.23056300268096513
10,14,0.24932975871313673
10,15,0.21179624664879357
